RegionID,RegionName,City,State,Region,Metro,CountyName,SizeRank,2019-10
97518,94027,Atherton,CA,West,San Francisco-Oakland-Hayward,San Mateo County,8097,4139000
72418,33109,Fisher Island,FL,South,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,11096,3950700
96149,90402,Santa Monica,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,5946,3644800
97901,94970,Stinson Beach,CA,West,San Francisco-Oakland-Hayward,Marin County,11459,3544100
97691,94301,Palo Alto,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4689,3444800
97560,94105,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,4454,3280600
97513,94022,Los Altos,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4799,3261900
97577,94123,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,1702,3220900
97519,94028,Portola Valley,CA,West,San Francisco-Oakland-Hayward,San Mateo County,7943,3109800
96086,90210,Beverly Hills,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,3979,2991300
96116,90265,Malibu,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,4553,2899300
97515,94024,Los Altos,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4442,2820100
96980,92662,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,8519,2759300
97587,94133,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,2278,2665800
58630,02116,Boston,MA,Northeast,Boston-Cambridge-Newton,Suffolk County,2770,2650800
96120,90272,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,3803,2643300
96979,92661,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,7950,2608500
96050,90069,West Hollywood,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1603,2605000
96957,92625,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,5187,2575200
97695,94305,Stanford,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,6580,2571800
97130,93108,Montecito,CA,West,Santa Maria-Santa Barbara,Santa Barbara County,6313,2571100
96088,90212,Beverly Hills,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,5356,2569600
97696,94306,Palo Alto,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2805,2558800
96030,90049,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,819,2441500
99524,98039,Medina,WA,West,Seattle-Tacoma-Bellevue,King County,9392,2351100
96087,90211,Beverly Hills,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,6903,2336700
97936,95030,Los Gatos,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,5964,2304300
97966,95070,Saratoga,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2688,2271900
97501,94010,Burlingame,CA,West,San Francisco-Oakland-Hayward,San Mateo County,1124,2264400
96969,92651,Laguna Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,2509,2245200
97568,94114,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,1064,2206700
96975,92657,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,6545,2203600
96005,90024,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,688,2199800
97477,93921,Carmel-by-the-Sea,CA,West,Salinas,Monterey County,7591,2168200
97895,94957,Ross,CA,West,San Francisco-Oakland-Hayward,Marin County,10225,2151800
97516,94025,Menlo Park,CA,West,San Francisco-Oakland-Hayward,San Mateo County,1250,2148500
97527,94040,Mountain View,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1480,2145100
96621,92067,Rancho Santa Fe,CA,West,San Diego-Carlsbad,San Diego County,6519,2142000
97572,94118,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,944,2132800
97865,94920,Tiburon,CA,West,San Francisco-Oakland-Hayward,Marin County,5641,2124300
58625,02111,Boston,MA,Northeast,Boston-Cambridge-Newton,Suffolk County,6322,2122600
96048,90067,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,8772,2097100
96117,90266,Manhattan Beach,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1710,2083300
97569,94115,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,650,2082800
97564,94109,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,9,2068000
96127,90291,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1550,2002300
62321,11976,Water Mill,NY,Northeast,New York-Newark-Jersey City,Suffolk County,8825,1992200
72442,33139,Miami Beach,FL,South,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,64,1982700
96150,90403,Santa Monica,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1768,1965100
96029,90048,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,2075,1925100
58632,02118,Boston,MA,Northeast,Boston-Cambridge-Newton,Suffolk County,2145,1917900
97528,94041,Mountain View,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,5159,1915000
97926,95014,Cupertino,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,400,1911200
72452,33149,Key Biscayne,FL,South,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,5207,1897600
97536,94062,Redwood City,CA,West,San Francisco-Oakland-Hayward,San Mateo County,3453,1888700
96058,90077,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,7006,1865600
97702,94402,San Mateo,CA,West,San Francisco-Oakland-Hayward,San Mateo County,3367,1858600
96152,90405,Santa Monica,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1643,1856200
58622,02108,Boston,MA,Northeast,Boston-Cambridge-Newton,Suffolk County,8460,1852300
72914,33921,Boca Grande,FL,South,Cape Coral-Fort Myers,Lee County,9814,1851900
97571,94117,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,767,1839000
96296,91108,San Marino,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,6547,1808100
72636,33480,Palm Beach,FL,South,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,3894,1805200
96660,92118,Coronado,CA,West,San Diego-Carlsbad,San Diego County,4092,1804700
96027,90046,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,27,1775900
97542,94070,San Carlos,CA,West,San Francisco-Oakland-Hayward,San Mateo County,2427,1772500
71578,31561,Sea Island,GA,South,Brunswick,Glynn County,11447,1742700
97549,94087,Sunnyvale,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,453,1741300
97581,94127,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,4742,1732900
97585,94131,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,2110,1732200
96586,92014,Del Mar,CA,West,San Diego-Carlsbad,San Diego County,5209,1731600
96017,90036,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,444,1704900
97562,94107,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,1107,1679500
96602,92037,San Diego,CA,West,San Diego-Carlsbad,San Diego County,784,1663900
97565,94110,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,58,1656100
97879,94939,Larkspur,CA,West,San Francisco-Oakland-Hayward,Marin County,7190,1648200
96981,92663,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,3122,1641200
96016,90035,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1953,1639400
97521,94030,Millbrae,CA,West,San Francisco-Oakland-Hayward,San Mateo County,4021,1631800
60545,7030,Hoboken,NJ,Northeast,New York-Newark-Jersey City,Hudson County,41,1631400
97498,94002,Belmont,CA,West,San Francisco-Oakland-Hayward,San Mateo County,2983,1630100
96128,90292,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1599,1616100
97558,94103,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,1058,1610900
99492,98004,Bellevue,WA,West,Seattle-Tacoma-Bellevue,King County,816,1606100
96978,92660,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,1349,1604000
97693,94303,Palo Alto,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1750,1602500
97839,94705,Berkeley,CA,West,San Francisco-Oakland-Hayward,Alameda County,5406,1585800
97997,95129,San Jose,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1799,1585100
97860,94904,Kentfield,CA,West,San Francisco-Oakland-Hayward,Marin County,6008,1583100
96008,90027,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,242,1578600
97535,94061,Redwood City,CA,West,San Francisco-Oakland-Hayward,San Mateo County,2027,1571800
97548,94086,Sunnyvale,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,491,1566900
97575,94121,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,807,1562200
97819,94618,Oakland,CA,West,San Francisco-Oakland-Hayward,Alameda County,4806,1555300
96049,90068,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,2141,1554300
96045,90064,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,2511,1551400
97539,94065,Redwood City,CA,West,San Francisco-Oakland-Hayward,San Mateo County,6166,1545200
96109,90254,Hermosa Beach,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,3548,1543300
58629,02115,Boston,MA,Northeast,Boston-Cambridge-Newton,Suffolk County,3204,1538700
97899,94965,Sausalito,CA,West,San Francisco-Oakland-Hayward,Marin County,5664,1529400
