RegionID,RegionName,City,State,Region,Metro,CountyName,2019-10
72636,33480,Palm Beach,FL,South,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,10263200
97518,94027,Atherton,CA,West,San Francisco-Oakland-Hayward,San Mateo County,9190000
96086,90210,Beverly Hills,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,8342500
97569,94115,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,7773800
97577,94123,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,7083400
72442,33139,Miami Beach,FL,South,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,6685500
96058,90077,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,6141400
96116,90265,Malibu,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,5953600
97691,94301,Palo Alto,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,5883300
62321,11976,Water Mill,NY,Northeast,New York-Newark-Jersey City,Suffolk County,5673300
58622,02108,Boston,MA,Northeast,Boston-Cambridge-Newton,Suffolk County,5505300
96050,90069,West Hollywood,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,5407100
93818,81615,Snowmass Village,CO,West,Glenwood Springs,Pitkin County,5373100
96975,92657,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,5361900
96030,90049,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,5232700
97895,94957,Ross,CA,West,San Francisco-Oakland-Hayward,Marin County,5042100
96149,90402,Santa Monica,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,4970000
96979,92661,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,4967000
97493,93953,Del Monte Forest,CA,West,Salinas,Monterey County,4961200
97572,94118,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,4928400
62283,11932,Bridgehampton,NY,Northeast,New York-Newark-Jersey City,Suffolk County,4854700
93819,81620,Avon,CO,West,Edwards,Eagle County,4744600
97130,93108,Montecito,CA,West,Santa Maria-Santa Barbara,Santa Barbara County,4744300
93798,81435,Mountain Village,CO,West,,San Miguel County,4648000
96120,90272,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,4647100
97513,94022,Los Altos,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4644400
96969,92651,Laguna Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,4584800
