RegionID,RegionName,State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
4,Alabama,AL,23,76300,76800,77400,78000,78500,78900,79100,79300,79300,79300,79300,79200,79200,79200,79300,79400,79600,79700,79800,79800,79900,79900,79900,79900,79900,79900,79900,80000,80100,80400,80700,81100,81700,82300,82900,83500,84000,84400,84800,85000,85200,85300,85400,85500,85700,85900,86000,86100,86200,86400,86400,86600,86700,87000,87300,87600,88100,88500,89000,89400,89700,90000,90300,90700,90900,91200,91400,91700,91800,92000,92200,92500,92700,93000,93200,93400,93700,94000,94200,94500,94800,95200,95500,95800,96100,96400,96800,97100,97500,97900,98200,98500,98800,99100,99400,99800,100100,100400,100800,101200,101700,102400,103000,103600,103900,103800,103200,102200,101100,100000,99100,98600,98200,97900,97800,97900,98400,99200,100500,102200,104200,106200,108000,109500,110500,111300,111700,111900,111900,112000,112100,112200,112500,112700,112700,112700,112600,112400,112300,112200,112100,112100,112000,111900,111900,111700,111400,110900,110400,109900,109500,109100,108700,108300,107800,107300,106900,106400,105700,105100,104700,104300,104000,103800,103700,103600,103700,103200,102400,101900,101900,101600,101300,100900,100500,100000,99500,98800,98100,97600,97300,97200,97100,97100,96900,96300,95900,95800,95600,95500,95800,96000,96000,95600,95500,95900,97100,98700,99800,100500,101300,102100,102900,104300,105400,106300,107000,107500,107700,108000,108400,108800,109400,109900,110100,109900,109800,109900,110200,110500,110800,111100,111500,112000,112500,112600,112300,112300,112500,112700,113000,113300,113300,113500,114000,114200,114500,115000,115400,115800,116300,116900,117300,117700,117900,117800,117900,118200,118400,118700,119000,119400,119900,120600,120700,120400,120400,120700,120900,121000,121300,122200,123300,124500,125400,126000,126400,127100,127700,128300,129100,130100,130700,130900,131300,131400,131400,131600,132300,133100,133900,134300
3,Alaska,AK,47,117800,118500,119400,120500,121700,122700,123600,124300,124800,125200,125300,125200,125100,125100,125100,125200,125500,125900,126700,127700,129000,130500,131800,132900,133900,134800,135700,136700,138000,139400,141000,142600,144300,146000,147600,149100,150500,151800,152800,153700,154500,155000,155500,155800,156000,156100,156000,155800,155500,155100,154500,153900,153200,152800,152900,153600,155400,158000,161100,164600,168200,171500,174500,177100,179100,180700,182000,183000,183900,184800,185600,186200,186900,187500,188200,188800,189400,190000,190500,191000,191400,191800,192200,192800,193600,194800,196300,198000,199800,201500,203100,204400,205400,206400,207400,208500,209700,211000,212400,213800,215300,216800,218300,219900,221600,223300,225100,226700,228300,229900,231500,233400,235700,238200,240900,243700,246200,248300,250100,251900,253600,255200,256700,258300,259800,261300,262700,264100,265500,266800,268000,269200,270100,270900,271600,272200,272500,272600,272800,273000,273100,273200,273300,273400,273400,273500,273400,273300,273400,273400,273600,273800,274000,274400,274700,275100,275400,275600,275800,276000,276100,276100,276100,276200,276200,276400,276500,276600,276900,277600,278300,278500,278500,278500,278600,278600,278800,279000,279000,278800,278600,278400,278100,278100,278300,278500,278500,278200,277800,277400,277200,277100,276800,276900,277100,277200,277300,277400,277600,278100,278800,279100,279200,279400,279900,280800,281700,282500,283200,283800,284300,284500,284800,285000,285600,286300,286600,285600,284600,285400,287400,289300,291100,292900,294700,296600,298200,299700,301200,302500,303200,302900,301600,300600,300300,299900,299700,300900,302600,303100,302900,303200,304200,305100,305000,304200,303700,303400,303500,304000,304800,305300,305600,305600,305800,305900,305700,305600,306100,306800,308000,309000,308700,307600,307200,307500,308500,309400,309600,309400,309800,311700,311300,308200,306000,307500,310500,313800,315500,316500,320500,326000
8,Arizona,AZ,16,100500,100900,101400,101900,102300,102800,103300,103800,104300,104900,105400,105800,106200,106700,107200,107700,108200,108800,109500,110200,110900,111700,112300,112900,113400,113900,114400,114900,115300,115700,116100,116600,117100,117700,118300,118800,119300,119800,120300,120700,121200,121800,122300,122800,123300,123800,124200,124500,124800,125200,125600,126000,126400,126900,127500,128100,128900,129800,130600,131300,132000,132600,133300,133800,134300,134700,135300,135900,136600,137300,138100,138700,139400,140000,140500,140900,141500,142200,143000,143900,144900,145700,146500,147300,147900,148500,149200,149800,150600,151400,152300,153200,154200,155300,156600,157900,159500,161300,163400,166000,169000,172300,176000,180000,184500,189200,194200,199800,206200,213200,220900,228800,236400,243300,249400,254400,258400,261600,264100,266400,268300,269300,269400,268600,267200,265400,263300,261300,259400,257800,256300,254800,253400,251900,250100,247800,245200,242200,238900,235400,231700,227800,223600,219400,215400,211700,208000,204500,201100,197700,194200,190900,187600,184200,180700,177100,173500,170000,166700,164100,162200,160500,159100,158100,157400,157100,156900,156100,154700,153200,151900,150000,147900,146200,144900,143200,141600,140400,139700,138800,137500,135900,134400,133000,132000,131600,131700,132400,133100,133800,134900,136700,138700,140900,143100,145400,147900,149900,151300,153000,154900,156400,157900,159900,162000,164200,166600,168900,170600,172300,173700,174900,176000,177000,177400,177600,178100,178900,179500,179900,180400,181100,182000,182900,183600,184100,184900,185800,186800,188100,189700,191100,192700,194100,195200,196300,197600,198900,199900,201100,202600,204100,205700,207500,209200,210600,212000,213600,215000,216100,217300,218800,220400,221900,223300,224700,225900,227100,228400,229500,230600,232500,234800,236500,237800,239300,240800,242100,243300,244900,247100,248900,250100,251600,253300,254000,254000,253900,254100,254800,256400,257600
6,Arkansas,AR,32,61400,61400,61300,61200,61100,61000,61000,60900,61000,61100,61300,61400,61600,61900,62100,62400,62600,62800,63200,63500,64000,64500,65000,65400,65700,65900,66200,66400,66700,66900,67100,67200,67400,67500,67600,67700,67900,68100,68300,68500,68700,68800,69000,69100,69400,69700,70000,70400,70800,71100,71300,71500,71700,71800,71900,72100,72400,72700,73100,73500,73900,74200,74500,74700,74800,74900,74900,74800,74800,74900,74900,75000,75200,75400,75700,76100,76600,77200,77800,78500,79100,79400,79400,79400,79500,79700,79900,80200,80500,80800,81100,81500,81800,82300,82800,83300,83700,84200,84700,85200,85700,86200,86700,87200,87900,88500,89300,90100,90800,91500,92200,92900,93500,94200,94900,95600,96400,97100,97600,98100,98600,99000,99500,100100,100700,101500,102100,102400,102400,102200,102000,102000,102200,102400,102500,102600,102700,102700,102700,102700,102800,102800,102800,102800,102800,102600,102200,101900,101400,101000,100600,100200,100000,99800,99700,99700,99700,99600,99300,99000,98700,98400,98200,98100,98100,98200,98400,98200,97700,97600,97700,97700,97400,97000,96700,96500,96100,95500,95200,95100,95000,94700,94400,94000,93800,93900,94000,93900,94000,94200,94100,93600,93300,93600,93800,93900,94100,94200,94400,94600,94900,95200,95500,96100,96600,96800,97100,97500,97900,98100,98300,98500,98700,98700,98900,99300,99500,99500,99500,99900,100300,100600,101000,101200,101500,101900,102100,102100,102300,102800,103300,103600,104000,104400,104800,105300,105900,106300,106400,106900,107800,108600,109200,109900,110400,111100,111800,112500,112800,113100,113600,114200,114800,115300,115700,116200,116600,116800,116700,116600,116800,117600,118800,120000,120800,121400,121600,121800,122100,122600,123400,124400,125400,126200,126800,127200,127300,127200,127400,128000,128900,129500
9,California,CA,1,162300,162200,162100,162000,161800,161700,161700,161800,162100,162500,162700,162600,162600,162700,162900,163300,163800,164500,165300,166400,167900,169500,171100,172400,173600,174700,175700,176600,177500,178400,179300,180300,181500,182800,184200,185400,186700,188100,189600,191100,192800,194600,196800,199100,201700,204600,207500,210100,212800,215600,218300,221100,223800,226300,228800,231300,233900,236500,239000,241400,243700,246000,248300,250500,252700,254900,257300,259700,262400,265200,268000,270900,273900,277100,280500,284100,288000,292000,296300,300700,305100,309300,313500,317900,322400,327100,332000,337200,342700,348500,354400,360400,366700,373500,380700,388700,397500,406900,416500,425900,434800,443100,450800,457800,464700,471300,477700,484200,490700,496900,503000,508600,513500,518000,522200,525700,528800,531600,534000,536300,538300,539500,540100,539500,537500,534800,532200,529500,526900,524600,522000,518900,515400,511500,507300,502100,495800,489000,481900,474600,466700,458500,449500,439500,428500,417500,407100,398400,391500,385800,380200,374900,369800,365000,360100,354600,348600,342500,337400,334500,333100,332600,332900,333500,334200,335000,335400,335000,335100,335800,335700,334200,332900,331100,329000,326500,323900,321000,318700,316800,314900,313000,311200,309200,307200,305300,303600,302300,301500,300900,300900,301900,303900,306200,308500,310700,312900,315600,318800,322800,326900,330700,335200,341500,348600,355800,363300,370400,376300,381000,384600,387700,390700,393800,396900,400100,402900,405200,407200,409300,411100,412900,414900,416800,418800,421400,424300,426800,429300,431700,434300,436600,438900,441700,444300,446800,449600,452700,455000,457100,459300,461500,463600,466400,469600,473000,476700,480300,483400,487100,490800,493700,496500,499600,502900,506000,508900,511900,515100,518400,521500,526200,531800,535300,536500,538200,540100,541900,543800,545600,547100,548500,549300,550300,551400,551400,550600,550200,549600,549200,549600,550800
10,Colorado,CO,22,126800,126800,126800,126900,127100,127400,127800,128100,128400,128600,128700,128700,129000,129500,130300,131200,132100,133000,133900,134700,135400,135900,136300,136700,137200,138000,139100,140300,141600,142800,144100,145300,146500,147800,149000,150200,151500,152900,154300,155800,157400,158900,160500,162100,163900,165800,167600,169400,171200,173000,174800,176600,178300,180100,181800,183600,185400,187200,188900,190400,191900,193100,194200,195300,196400,197300,198100,199000,199800,200600,201400,202300,203000,203700,204200,204700,205000,205400,205900,206300,206800,207200,207800,208400,208900,209400,209700,210000,210400,210800,211300,211900,212500,213000,213500,214000,214400,214900,215400,216000,216600,217300,218000,218700,219400,220200,220900,221600,222400,223000,223600,224200,224800,225400,226100,226700,227400,228100,228800,229400,230000,230500,231000,231300,231600,231700,231800,231800,231900,232000,232000,232200,232300,232500,232500,232400,232100,231600,230800,229800,228700,227600,226500,225600,224700,224000,223300,222600,221900,221300,220800,220500,220200,220100,219900,219500,218800,217800,216800,216200,216100,216100,216200,216200,216400,216700,217100,216700,216000,215600,215200,214400,213400,212400,211500,210700,209700,208600,207600,207200,206700,206100,205700,205200,204900,204900,205100,205500,206100,206600,207000,207600,208600,210000,211400,212700,213900,215200,216700,218000,219100,220000,221100,222600,224300,225700,227500,229600,231600,233100,234200,235400,236700,237700,238700,239700,241400,243400,245300,247100,249300,251400,253600,255900,258500,261200,263800,266600,269700,272900,276300,279500,282700,285700,288500,290800,293100,295500,298000,300800,303700,306600,309500,312300,315100,317400,319600,322100,324800,327800,331300,334700,337300,339400,341000,342300,343700,345300,346800,348200,350000,353400,357300,360100,361700,363400,364700,365700,366600,368300,371100,374100,376300,378500,380600,381800,381400,380500,379900,379900,380500,381300
11,Connecticut,CT,29,130600,131000,131300,131600,131800,132000,132200,132500,132800,133300,133500,133500,133500,133600,133600,133700,133700,133900,134100,134400,134800,135400,136000,136500,136900,137300,137700,138200,138800,139500,140300,141100,142000,143000,143900,144700,145600,146400,147200,148100,148800,149500,150300,151200,152300,153500,154700,155800,156800,157700,158600,159500,160400,161400,162400,163400,164700,166000,167300,168600,170000,171300,172700,174100,175600,177100,178600,180100,181600,183200,184900,186500,188100,189700,191400,193200,195000,196900,198900,201000,203200,205300,207400,209600,212000,214500,217200,220000,222600,225200,227700,230100,232400,234700,237000,239300,241600,243900,246300,248900,251500,254100,256800,259400,261900,264400,266800,269100,271600,274000,276300,278600,280700,282700,284500,286000,287200,288100,288800,289400,289900,290100,290100,289900,289400,288900,288200,287600,287100,286900,286700,286500,286200,285600,284600,283600,282500,281400,280100,278600,276900,275200,273400,271800,270400,269100,267600,265700,263600,261400,259500,257800,256200,254700,253200,251400,249300,247000,244800,243200,242500,242300,242500,242800,243400,244100,244700,244300,243200,242700,242500,241500,240000,238800,237300,235300,233300,231800,230400,229400,228700,227800,227200,226700,225900,224800,223700,222300,220800,218800,217400,216900,216600,216200,216000,216000,216000,215700,215800,216100,216100,216100,216200,216600,217400,218200,218900,219700,220500,220800,220900,221400,222000,222200,222200,222100,221700,221100,221000,221000,220800,220400,220200,220700,221400,221900,222000,221700,221700,221900,222100,222200,222300,222500,222700,222500,222500,222800,223100,223800,224300,224700,224900,224900,225000,225600,226200,226700,227100,227600,228100,228800,229700,230500,230400,230800,231900,233300,234200,235300,236300,237200,237700,238100,238600,239500,240300,240700,241300,241800,242300,242300,242300,243000,244200,244600,244200,243700,243800,244100,244500,244800
13,Delaware,DE,45,105900,106200,106500,106800,107000,107100,107100,107000,107100,107300,107600,107800,108000,108200,108500,108800,109100,109400,109800,110200,110900,111600,112200,112400,112400,112300,112200,112100,112200,112300,112600,112900,113400,114100,114700,115300,115800,116300,116800,117100,117400,117600,117700,117700,117900,118300,118900,119500,120300,121200,122300,123300,124300,125000,125700,126500,127500,128600,129800,130900,131900,132900,133800,134600,135400,136000,136500,137100,137800,138800,139900,140900,141900,143000,144100,145000,145900,146700,147400,148400,149800,151400,153200,155100,157000,158800,160600,162500,164300,166000,167500,168900,170300,171900,173700,175700,177800,180000,182500,185500,189300,194400,200400,206100,210200,212200,212700,212600,212800,213300,213800,214400,215100,216200,217500,218900,220700,222600,224700,226600,228100,229300,230500,231800,232700,233100,233200,233100,233200,233600,234200,234400,234500,234700,235300,235800,236200,236200,236100,236400,236600,236500,236400,236000,235300,234800,234600,233900,232700,231100,229900,229600,229200,228300,227200,225500,223300,221200,219500,218200,217300,216400,216200,216900,218000,218400,217800,219300,223000,225200,224700,224000,222900,221400,220800,222000,223600,224100,224800,225300,224800,224300,224200,223700,223000,223400,218700,207600,197500,193300,191200,189800,188800,188000,187500,186700,185500,184300,184500,185800,186700,186700,187100,187700,187500,186900,186800,187400,188900,190400,191800,193300,194600,195200,195300,195000,195500,196800,197800,198000,198000,197600,197800,198500,199400,200200,200400,200100,200100,200900,201900,202800,203900,205200,206400,207500,208400,209100,210200,211500,212300,212900,214100,215700,217100,218000,218900,219800,220300,221300,222800,223800,224000,224100,223700,223500,224100,224400,226300,232100,238900,241300,240200,238000,236300,234900,234500,234800,235200,235100,235300,236000,236900,238000,239300,239900,239200,238300,237800,237300,236700,236300
12,District of Columbia,DC,50,110600,111000,111400,111800,112300,112700,113100,113600,114300,115100,115800,116300,116600,116800,116800,116800,116900,117000,117300,117800,118600,119500,120300,121000,121600,122400,123200,124200,125400,126500,127700,128700,129800,130900,131900,132700,133700,134600,135500,136200,136800,137300,137800,138300,139100,140100,141100,142200,143300,144500,145600,146800,147900,148900,150000,151300,153000,154800,156800,158800,160900,163100,165300,167600,169800,172000,174200,176500,178800,181400,184000,186800,189700,192800,196100,199600,203400,207400,211600,216300,221100,225800,230100,234400,238600,242800,246900,251000,255200,259400,264000,268800,273800,278800,284100,289600,295300,301200,307500,313900,320300,326800,332900,338400,343200,347600,351900,356400,360800,365000,369300,373800,378100,382200,385800,388900,391600,393900,395900,397600,398900,399800,400400,400800,400800,400500,400100,399800,400100,401000,402300,403600,404400,404700,404700,404500,403800,402700,401400,399700,397700,395400,393000,390400,387600,384900,382500,380400,378100,375800,373400,371100,369000,367100,365300,363200,360600,357900,355700,354400,353700,353100,352800,352800,353200,353700,354200,354400,354800,355000,354500,353600,353300,353700,354200,355100,356100,356500,355300,353700,353000,353500,354100,353500,351900,351400,352000,352200,352600,353900,356300,359100,361700,363800,366200,369700,373300,376900,380200,383000,385000,386800,388700,392000,397000,402400,406400,410900,416000,420000,422500,425700,428900,431700,434400,437600,440000,441900,443700,445200,446600,447800,449000,450200,452100,454500,457900,460900,463600,466500,469600,471800,473900,476500,479000,480400,481600,482800,484100,487000,492200,497700,502500,506300,509200,511100,514500,520600,527500,532500,535200,536600,538500,540600,542400,544700,547100,548500,548400,548000,547500,550700,557700,563100,563300,564000,566500,569100,570400,572800,576600,580200,581800,582100,582800,581500,575800,568800,565700,565000,566100,567800
14,Florida,FL,4,84400,84500,84500,84600,84600,84700,84900,85200,85500,85900,86200,86500,86700,86800,87000,87200,87400,87600,87800,88100,88500,88900,89200,89400,89600,89800,90000,90300,90700,91200,91700,92200,92800,93300,93700,94000,94400,94800,95300,95900,96500,97100,97700,98300,98900,99600,100100,100600,101200,101800,102500,103200,104100,105000,106000,106900,108000,109100,110300,111400,112600,113700,114900,116100,117200,118400,119500,120500,121600,122700,123600,124600,125500,126400,127200,128100,128900,129800,130900,132000,133100,134300,135600,137000,138400,139900,141300,142700,144100,145700,147300,148900,150700,152500,154500,156500,158800,161300,164000,167100,170300,173700,177100,180500,184200,188000,192100,196600,201500,206600,211800,217100,222300,227200,231800,236000,240000,243700,247000,250200,253300,255700,257600,258700,258900,258500,257700,256400,254900,253400,251700,249800,247700,245300,242500,239400,236000,232400,228800,225100,221300,217400,213400,209300,205200,201200,197200,193100,189200,185300,181400,177600,173900,170300,166600,162800,159000,155100,151400,148600,146600,145100,144000,143200,142800,142600,142600,141800,140400,139400,138700,137600,136000,134500,133100,131900,130400,128900,127600,126900,126300,125700,125000,124600,124200,124100,123800,123700,123600,123500,123700,124100,124600,125100,125600,126000,126300,126800,127300,127800,128700,129700,130500,131500,132800,134100,135700,137300,138900,140400,142000,143500,144700,145600,146700,147900,149300,150500,151500,152800,154100,155100,155900,156900,158000,159000,160100,161400,162800,164200,165500,166900,168400,169800,171300,172600,173700,175200,176700,178100,179900,181600,183100,184700,186500,188300,190400,192800,195200,197400,199200,200800,202500,204300,205700,207100,208600,210100,211500,212800,213900,215800,218300,220300,221600,223200,224700,225700,226500,227800,229200,230400,231600,233200,234700,234900,234400,234400,235100,236000,237100,237900
