RegionID,RegionName,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Alabama,48447,49983,55997,54806,51798,49989,52633,50988,48812,47885,47382,51248,51999,46905,47244,47654,47624,51092,44888,47175,49412,52105,49936
3,Alaska,84383,75109,78271,77703,77275,81556,73868,70945,73378,72041,70437,76477,74812,72275,66767,64260,69739,78249,71804,79611,79237,79888,68734
8,Arizona,50581,51237,57269,55931,58172,60715,55616,56340,58430,58319,58250,57321,54849,53662,54127,54403,51546,56805,52294,55378,59750,61155,62283
6,Arkansas,43364,40942,42716,44875,43424,47400,45332,43798,46620,47250,46265,49527,46282,42867,44536,46213,42752,42515,47695,45362,48037,50964,49781
9,California,62052,62120,63204,65961,68456,67195,66397,67473,65594,66710,69065,67664,66658,65858,62652,59713,62477,65640,64221,67448,69729,71745,70489
10,Colorado,65470,67658,71951,72837,70538,70231,67597,68349,67811,65026,69537,74228,71251,65618,69520,65601,62735,73325,64702,70585,73841,76812,73034
11,Connecticut,67339,68835,71811,76489,73363,75847,74726,75226,73427,73258,77910,77870,75623,76085,76174,73194,70396,74814,74492,77255,79446,76115,72812
13,Delaware,62847,67345,64013,70495,73646,70522,69495,67088,64031,66039,65468,66274,59278,61141,63727,61160,53659,58402,61073,61216,60740,66545,65012
14,Florida,48989,50791,53901,54171,56817,51782,53222,53338,54017,55412,57026,55596,52444,53535,50860,50468,50480,52400,48988,51750,53551,54380,54644
16,Georgia,51954,57376,59701,59605,61269,60533,60102,58081,54616,59196,61605,59053,54046,50848,50919,51440,52726,50738,52614,53809,56011,59398,55821
18,Hawaii,66785,64060,63039,67284,75373,67447,66210,70941,74949,76803,75496,77726,71927,65289,68719,66068,61648,69355,75619,68379,75480,75393,80108
20,Idaho,55492,52276,56636,54124,54996,54370,52790,57991,59112,56941,57696,59712,55441,54881,54304,53102,52508,52330,56737,54716,59189,60947,58728
21,Illinois,63239,64606,66669,70044,67357,65644,59781,61797,61403,62383,60765,63745,62262,62028,58549,56658,56690,58236,58306,64032,64235,67577,70145
22,Indiana,56193,60860,61347,61741,59754,57409,57453,58064,56408,54699,56690,57610,54389,51980,53253,49730,50575,53397,51027,55097,58697,60200,59892
