RegionID,Division,RegionName,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,South,Alabama,78178,79475,80283,84500,86692,90383,93350,96983,101283,99850,107258,112375,110792,105667,101708,96975,97308,107027,110683,113183,117050,120250,126733
3,West,Alaska,121478,125917,136800,152358,154567,173642,188358,197808,213425,233575,257292,271067,273475,275642,277817,278442,277408,282577,287875,300533,303483,305767,309142
8,West,Arizona,102356,107625,114525,120525,125992,133350,140867,149717,166817,224517,265358,247125,206825,167800,150308,135042,144208,168590,179867,190533,206683,223667,241508
6,South,Arkansas,61144,62325,66200,68383,71225,74233,76367,80267,84992,92492,99925,102458,101758,99025,97433,94458,94058,97499,99992,103542,109475,115533,121658
9,West,California,161967,163933,175883,191075,219508,249367,283483,336008,420075,503383,535017,500817,408433,342417,332467,310392,310833,369078,407492,435475,466550,504367,540358
10,West,Colorado,127344,131258,140317,155358,175633,194300,204108,209858,215933,223858,230658,231575,223250,217508,214117,206133,212233,230452,246833,277567,310450,340650,365225
11,Northeast,Connecticut,131756,133800,138308,147583,159075,173583,192667,218667,247950,276825,288958,283300,265975,246425,240642,226625,216467,219438,221233,222167,224925,231408,240175
13,South,Delaware,106744,108800,112383,116533,122733,133775,144317,161300,187292,215017,229908,235333,233333,220667,221925,220117,187675,190098,197075,203150,214992,225750,236542
14,South,Florida,84767,87142,90483,95825,103250,115442,127733,142158,166708,214250,254383,239450,195350,152958,137417,125367,125792,138480,152025,166308,184375,206158,224592
16,South,Georgia,88900,93683,100333,109658,119325,127900,135283,140325,146308,151775,159375,163008,155775,141408,131758,118508,110758,119636,130208,139292,149417,161042,176467
18,West,Hawaii,213567,205458,202492,202917,213158,223275,242758,283258,364383,467817,530892,525942,491908,436142,421708,407767,414283,451764,483692,511008,549117,577742,609900
20,West,Idaho,99778,110233,117067,119192,122050,125058,125292,129850,136817,152742,181192,190433,187700,171900,158333,144408,143858,157030,168225,177425,191117,209375,236175
21,Midwest,Illinois,115489,109733,117075,124842,134117,143575,154517,162917,174800,187475,200092,202417,190200,169933,157600,142900,134675,139376,146058,152758,159392,167283,175533
22,Midwest,Indiana,89456,88192,87542,88942,93850,101117,103342,104575,105475,112125,115967,117742,116483,110408,107925,105800,104658,104659,106025,110208,116275,124183,134967
19,Midwest,Iowa,62989,66458,71733,75700,79442,83842,88292,91650,95917,102383,106083,109742,111225,110992,111775,110075,111392,114863,117883,122867,127558,133492,139100
23,Midwest,Kansas,65111,73692,83317,88308,91292,94917,98600,100817,106192,112833,113392,117825,117642,115808,114450,110267,108708,109801,112317,115583,121158,128825,135025
24,South,Kentucky,71111,74442,79392,83192,87183,92325,97242,102383,106867,109750,114550,115858,114950,113533,114492,112258,110450,112028,113792,117175,123233,131483,139392
25,South,Louisiana,68000,71075,79175,87517,92550,92725,90517,94800,102067,106233,116383,122167,124308,125625,124958,120833,118450,121023,123525,127183,133700,140325,145308
28,Northeast,Maine,84056,83025,87758,95033,108408,125000,138500,154967,176425,197950,201342,198433,186442,172975,180458,174092,175600,178980,182125,186575,194608,209492,223883
27,South,Maryland,128844,129367,131375,135467,142275,152683,170200,196850,237367,294525,329975,328967,296817,260925,244392,228308,224767,236286,244900,250758,258567,270808,284000
26,Northeast,Massachusetts,138633,144242,157050,174617,202217,236650,270550,303967,332858,358075,350442,332992,309558,293900,292525,281450,279250,296965,313208,326608,345367,374042,396908
30,Midwest,Michigan,78500,84317,92725,99717,108700,114958,120625,125133,130458,136000,136108,129650,115333,97933,89342,83275,83925,93574,102842,112367,121850,132850,143842
